finalserialno	serial	a01	a02	a03	m02_1	m02_2	m02_3	m02_4	m02_5	m02_6	b01	b02	b04	b05	b0601	b0602	b0603	b0604	b0605	b0606	b0607	b0608	b0609	b0610	b0611	b0612	b0613	b0614	b0615	b0616	b0617	b0618	b0619	b06a	b07	b09	b12_1	b12_2	b12_3	b12_4	b12_5	b12_6	b13_1	b13_2	b13_3	b13_4	b13_5	b13_6	c01	c02_1	c02_2	c02_3	c02_4	d01	d02	d03	d04	f01_1	f01_2	f01_3	f01_4	f01_5	f01_6	f01_7	f01_8	f01_9	f01_10	f01_11	f01_12	f2	e01	g01_1	g01_2	g01_3	g01_4	g01_5	g01_6	g01_7	g01_8	h01	i01_1	i01_2	i01_3	i01_4	i01_5	i01_6	i01_7	j05	j06	j01	j08	j10	j11	j12	k01	k02	k03	k11	k1201	k1202	k1203	k1204	k1205	k1206	k1207	k1208	k1209	k1210	k1211	k1212	k13	k14_1_01	k14_1_02	k14_1_03	k14_1_04	k14_1_05	k14_2_01	k14_2_02	k14_2_03	k14_2_04	k14_2_05	k14_3_01	k14_3_02	k14_3_03	k14_3_04	k14_3_05	k14_4_01	k14_4_02	k14_4_03	k14_4_04	k14_4_05	k14_5_01	k14_5_02	k14_5_03	k14_5_04	k14_5_05	k14_6_01	k14_6_02	k14_6_03	k14_6_04	k14_6_05	k14_7_01	k14_7_02	k14_7_03	k14_7_04	k14_7_05	k14_8_01	k14_8_02	k14_8_03	k14_8_04	k14_8_05	l01	l02	l03	l04	l09	m01	n04a	n03	p01	p02	p03_1	p03_2	p03_3	p03_4	p03_5	p03_6	p03_7	p03_8	p03a	p03b	p04_01	p04_02	p04_03	p04_04	p04_05	p04_06	p04_07	p04_08	p04_09	p04_10	q01_1	q01_2	q01_3	q01_4	q01_5	q02_1	q02_2	q03_1	q03_2	q03_3	r03	r04	r05	r05a	s01_1	s01_2	s01_3	s01_4	s01_5	s01_6	s01_7	q11	q12	t01_1	t01_2	t02	u01	u03	u05	v01	v04	v05	v06	w01	w02	w03	w08	w09	w11	w12	w13_1	w13_2	w15_1	w15_2	w15_3	r6	x01_1	x01_2	x01_3	x01_4	x01_5	x01_6	x2	x3	k06	k08	y01	y03	y04_01	y04_02	y04_03	y04_04	y04_05	y06	y07	y08	y09	y10_banded	Age	y11	y12a	education	y17	y17a	y18	y18a	y22	y23	y24	y25	y26	y45	y46a	y47	y48_1	y48_2	y48_3	y48_4	y48_5	y48_6	followup1	followup2	q1_cses	q2_cses_1	q2_cses_2	q2_cses_3	q2_cses_4	q2_cses_5	q2_cses_6	q2_cses_7	q2_cses_8	q3_cses_1	q3_cses_2	q3_cses_3	q3_cses_4	q3_cses_5	q4_cses_1	q4_cses_2	q4_cses_3	q4_cses_4	q4_cses_5	q5_cses	q6_cses	q7_cses	q8_cses	q9_cses_1	q9_cses_2	q9_cses_3	q9_cses_4	q9_cses_5	q9_cses_6	q9_cses_7	q10_cses_1	q10_cses_2	q10_cses_3	q10_cses_4	q10_cses_5	q10_cses_6	q10_cses_7	q11_cses_1	q11_cses_2	q11_cses_3	q11_cses_4	q11_cses_5	q11_cses_6	q11_cses_7	q12_cses_1	q12_cses_2	q12_cses_3	q12_cses_4	q12_cses_5	q13_cses	q14_cses	q15_cses	q16_cses	q17_cses	q18_cses	q19_cses	q20_cses	q21_cses	q22_1_cses	q22_2_cses	q22_3_cses	q24_cses	q25_cses	region	recontact	agency	Constit_Name	Constit_Code	pano	Interview_Date	total_num_dwel	total_num_hous	num_elig_people	nr_calls_1st	reissue	nr_calls_reissue	sel_wt_capped	wt_demog	wt_demog_cses	wt_vote	wt_vote_valid	edlevel	turnoutValidationReg	validatedTurnoutBinary	ns_sec	ns_sec_analytic	seg	sc	mii_coded	msoa11	imddecile
24421	000000771	too much mess dirtyness everywhere	-1	3	4	4	4	4	4	4	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	4	5	1	 	 	3	4	4	5	4	4	3	4	4	4	4	2	4	2	-1	0	-1	1	-1	-1	-1	 	 	9	 	 	8	1	-1	-1	-1	1	2	7	1	2	2	2	3	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	0	3	1	2	1	2	1	5	1	2	-1	-1	 	 	0	1	0	0	0	0	0	0	0	0	1	0	3	2	2	 	 	1	1	3	2	2	3	3	3	1	0	10	0	1	1	 	 	1	1	3	4	9	1	3	2	1	6	 	 	2	 	2	11	11	2	2	5	5	5	5	2	3	2	2	2	2	2	2	4	2	2	2	8	4	0	1	0	0	0	1	1	3	2	2	25	-2	2	0	5	1	1	1	2	1	 	 	1	1	1	3	0	1	0	0	0	0	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	3	Hendon	E14000741	304	13/07/2017	1	1	2	2	0	0	1.121963692	1.60348506027759	 	1.93244981467245	 	0	 	 	71	30	60	31	45	E02000053	6
24423	000000772	healthcare	1	3	4	4	4	3	2	3	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	3	3	2	3	2	3	3	2	2	2	3	2	2	4	2	2	3	 	 	3	3	4	4	4	3	4	4	2	3	3	3	4	2	5	5	4	8	5	7	7	 	 	4	 	 	7	6	3	4	2	1	2	6	2	2	2	3	6	1	14	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	4	6	3	1	6	2	1	7	7	7	1	10	3	 	 	2	1	0	1	0	0	0	0	1	0	0	0	3	3	3	 	 	1	1	2	3	3	3	4	2	2	7	7	5	1	5	 	 	2	2	2	4	9	3	2	2	2	5	 	 	1	 	1	1	1	1	1	2	6	4	2	4	4	1	1	2	1	1	2	5	-1	1	1	12	1	0	1	0	0	0	13	1	3	1	4	52	9	1	1	1	 	 	 	1	2	 	 	1	1	2	1	1	0	0	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	3	Hendon	E14000741	304	13/07/2017	1	1	4	3	0	0	2.243927384	2.21903636788346	 	2.01888455192433	 	5	 	 	42	20	51	20	1	E02000053	6
24424	000000775	housing rents are too big selling buying prices too high need urgent look	1	3	4	4	4	4	4	5	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	3	4	3	4	3	1	 	 	3	4	4	4	4	4	4	4	2	5	4	3	4	3	-1	8	5	5	-1	-1	-1	 	 	5	 	 	7	3	-2	-2	-2	2	2	7	4	2	4	3	4	2	 	1	1	0	0	0	0	0	0	0	0	0	0	0	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	3	5	2	1	7	1	2	-1	-1	-1	-1	-1	-1	 	 	8	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	 	 	-1	-1	-1	-1	-1	3	3	3	1	3	6	1	0	0	 	 	3	3	4	4	5	1	3	3	1	6	 	 	2	 	2	10	10	2	2	4	4	4	3	4	4	1	2	2	2	2	2	4	2	2	1	9	4	0	1	0	0	0	1	1	3	2	3	36	-2	1	1	1	 	 	 	2	1	 	 	1	1	1	1	0	1	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	3	Hendon	E14000741	304	13/07/2017	1	1	4	2	0	0	2.243927384	1.96983215165858	 	2.95540104226223	 	5	 	 	131	70	70	40	36	E02000053	6
24715	000002280	THE INEQUALITY AND THE AUSTERITY HAS GONE TOO FAR	1	1	4	2	4	2	3	4	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	4	2	1	4	4	2	2	2	-1	1	2	1	2	3	5	2	1	 	 	1	1	4	3	4	2	3	4	4	4	4	2	3	1	0	7	5	9	8	-1	-1	 	 	7	 	 	9	0	0	7	4	1	2	4	2	2	1	2	7	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	2	2	1	4	1	4	1	2	1	9	1	5	10	1	 	 	5	1	1	1	0	0	0	0	1	0	0	0	-1	2	2	 	 	2	1	2	2	3	5	-1	1	2	0	9	0	2	8	 	 	1	1	3	3	4	0	3	2	1	3	 	 	2	 	1	1	11	2	1	1	5	2	2	2	2	1	2	2	1	-1	2	5	2	2	1	3	3	0	0	0	1	0	0	 	3	2	4	48	1	1	9	10	 	1	2	 	 	1	 	3	1	1	1	1	0	0	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	2	Ilford Nor	E14000759	328	14/07/2017	1	1	1	4	0	0	.560981846	.701012879502327	 	.5726744265297	.773305412673342	3	1	1	91	40	120	50	35	E02000753	4
24717	000002288	THE ECONOMY BECAUSE OF BREXIT UNCERTAINTY AND JOB UNCERTAINTY	2	2	2	1	2	2	3	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	3	2	1	2	1	3	2	3	3	2	1	2	4	4	5	1	2	 	 	3	3	2	4	5	2	4	2	1	4	4	2	4	3	7	5	3	10	5	7	8	 	 	8	 	 	2	6	5	5	5	2	3	4	3	1	2	3	4	2	 	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	0	0	0	1	3	4	2	3	8	2	1	7	3	2	3	3	10	8	10	5	 	 	5	1	0	0	0	0	0	0	0	0	1	0	3	1	3	 	 	1	2	3	2	1	3	3	2	2	9	0	2	0	5	 	 	2	2	5	4	0	2	3	3	2	7	 	 	4	2	1	11	11	2	2	2	4	5	4	5	5	1	2	2	1	1	2	2	3	2	1	12	4	1	0	0	0	0	1	1	3	2	2	33	14	1	1	1	 	 	 	2	2	 	 	1	1	1	1	0	1	0	0	0	0	1	1	3	2	3	4	2	5	4	4	4	2	2	1	5	5	2	2	1	2	1	3	2	1	2	7	1	3	3	 	 	5	3	9	5	5	5	 	 	7	2	4	2	5	 	 	5	5	5	2	5	4	5	5	2	2	 	 	5	1	1	0	0	2	33	London	2	2	Ilford Nor	E14000759	328	15/08/2017	1	1	2	8	0	0	1.121963692	1.15529332091169	1.06140375306041	1.61481430417428	1.41233118138267	5	2	0	31	12	40	10	26	E02000753	4
24718	000002284	HOUSING SHORTAGE / OVERCROWDING POPULATION TOO HIGH.	0	2	5	5	5	5	5	5	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	4	4	2	1	3	4	3	2	2	3	2	3	4	5	1	4	2	1	 	 	3	1	5	5	1	1	1	5	5	5	4	5	5	3	5	7	3	7	5	6	9	 	 	10	 	 	5	0	-2	-2	-2	1	1	4	1	1	1	1	0	2	 	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	1	4	1	0	-1	3	-1	-1	-1	-1	-1	-1	 	 	5	-1	1	0	0	0	0	0	0	0	0	0	3	2	2	 	 	-1	1	2	1	2	3	5	1	1	0	5	0	0	7	 	 	2	1	1	1	3	7	3	1	1	5	 	 	2	 	2	-1	-1	2	1	1	6	3	1	5	4	2	2	2	1	1	-1	2	2	2	1	4	5	0	0	0	1	0	0	 	3	2	2	34	11	1	14	10	 	2	 	 	 	 	 	3	1	2	1	1	0	0	0	0	0	1	1	3	1	2	5	5	1	1	1	1	2	-1	2	1	2	-1	-1	-1	1	1	1	4	-1	 	-1	-1	-1	-1	 	 	-1	-1	-1	-1	-1	-1	 	 	0	4	-1	-1	-1	 	 	2	2	2	5	3	-1	5	1	2	1	2	3	5	1	1	0	0	2	34	London	2	2	Ilford Nor	E14000759	328	14/07/2017	1	1	1	2	0	0	.560981846	.801742530138795	1.50188106907355	.966224907336224	 	2	 	 	 	 	 	 	36	E02000753	4
24719	000002283	LACK OF HOUSING - I HAVE TO RENT PRIVATELY AND IT IS DIFFICULT FOR A SINGLE MOTHER WITH A CHILD. NOT ENOUGH COUNCIL HOUSES.	1	2	4	4	5	4	5	3	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	4	3	1	1	4	4	1	2	4	3	2	2	2	1	3	4	3	-1	1	1	3	2	4	4	4	2	3	5	5	4	4	1	3	1	3	5	1	9	6	8	1	 	 	10	 	 	6	2	-2	5	-2	1	2	6	2	2	1	3	3	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	3	3	8	3	1	1	2	1	-1	10	2	-1	10	0	 	 	3	1	0	0	0	0	0	0	0	0	1	0	3	3	1	 	 	2	2	2	1	-1	4	3	1	4	7	8	5	1	7	 	 	2	-1	2	4	9	0	3	1	1	4	 	 	2	 	2	1	1	1	1	1	2	5	2	2	4	1	2	2	-1	1	2	4	2	2	2	6	4	1	0	0	0	0	0	 	3	2	2	30	5	1	13	4	 	 	 	 	 	1	 	3	3	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	2	Ilford Nor	E14000759	328	25/07/2017	1	1	1	4	0	0	.560981846	.801742530138795	 	.966224907336224	1.10423797408916	3	3	0	91	40	120	20	36	E02000753	4
24723	000002290	TOO MANY PEOPLE - NOT ENOUGH AFFORDABLE HOUSING	1	3	5	5	5	5	5	5	2	 	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	3	3	1	1	3	4	2	2	2	3	1	2	3	4	3	4	2	1	 	 	2	1	5	5	4	1	-1	4	3	3	4	5	5	3	0	5	2	8	2	8	2	 	 	8	 	 	8	2	4	7	5	1	2	4	1	1	1	2	5	1	8	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	2	0	2	1	3	2	1	8	2	6	3	10	3	 	 	4	-1	0	1	0	0	0	0	0	0	0	0	3	3	3	 	 	3	1	2	1	2	3	3	2	1	0	10	2	4	10	 	 	1	1	4	3	2	4	3	1	2	1	 	 	2	 	2	1	1	2	-1	1	5	5	1	5	4	1	2	2	-1	1	2	4	2	1	1	12	2	0	1	0	0	0	0	 	3	2	2	26	1	1	9	4	 	 	 	 	 	2	1	2	3	2	1	1	0	0	0	0	0	1	1	3	2	2	2	4	2	2	2	1	3	3	2	3	2	2	3	3	1	1	1	3	1	-1	10	1	9	1	 	 	1	1	6	2	7	8	 	 	0	7	2	7	8	 	 	2	2	3	4	4	1	5	4	-1	1	2	2	1	2	1	0	0	2	26	London	2	2	Ilford Nor	E14000759	328	20/07/2017	1	1	1	3	0	0	.560981846	.801742530138795	1.50188106907355	.966224907336224	 	3	 	 	81	40	21	31	12	E02000753	4
24725	000002285	THE TERRORIST THREAT. WE LIVE IN A DIFFERENT WORLD AND I AM WORRIED FOR MY 21YO DAUGHTER - JUST GETTING ON THE TUBE INTO LONDON DAILY TO HER JOB AT THE BANK.	-1	4	4	4	4	4	4	4	1	2	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	2	 	3	1	1	1	4	4	1	1	4	3	1	1	3	1	3	1	4	2	 	 	3	2	4	4	5	4	4	4	4	1	1	4	4	1	5	8	10	3	7	8	0	 	 	7	 	 	3	5	3	-2	3	1	1	1	2	1	1	3	3	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	2	2	9	3	1	2	2	1	10	10	10	10	10	10	 	 	10	1	0	0	0	0	0	0	0	0	1	0	-1	3	3	 	 	3	3	3	3	3	3	3	1	1	4	1	1	1	4	 	 	3	2	2	1	0	2	3	3	1	1	 	 	2	 	2	1	1	2	1	1	5	3	2	3	5	1	2	2	-1	1	1	5	3	2	2	8	4	0	0	0	1	0	0	 	3	2	4	48	1	1	10	5	1	1	1	1	1	 	 	3	1	1	2	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	2	Ilford Nor	E14000759	328	15/08/2017	1	1	1	8	0	0	.560981846	.701012879502327	 	.655943294775752	.977086697567039	2	2	0	100	50	52	31	11	E02000753	4
24815	000000886	BREXIT - THE LEAVING OF EUROPE WILL BE VERY BAD FOR THE COUNTRY. IT IS VERY SAD - FOR STUDENTS, AND TRADE. ALSO THE ENORMOUS DIVIDE IN THE UK POLITICALLY AND ECONOMICALLY.	1	2	4	4	4	2	2	4	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	3	1	1	3	3	2	2	2	3	1	1	1	2	4	4	3	1	 	 	2	2	4	-1	2	2	3	4	4	4	4	2	4	-1	4	7	3	8	5	-1	8	 	 	9	 	 	8	1	-1	-1	0	2	3	6	1	1	1	1	7	1	21	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	2	2	3	4	1	3	3	2	1	10	2	1	10	-1	 	 	0	1	0	0	0	0	0	0	0	0	1	0	-1	2	-1	 	 	2	1	2	3	-1	5	5	1	1	0	8	6	0	1	 	 	1	1	2	4	7	1	3	2	1	7	 	 	2	 	2	2	2	2	1	1	7	2	2	2	2	1	-1	2	1	1	-1	5	2	2	1	4	1	0	0	0	1	0	0	 	3	2	5	59	-2	1	7	12	 	1	1	1	1	 	 	1	1	2	1	1	0	0	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	2	Ilford Nor	E14000759	328	10/07/2017	1	1	1	2	0	0	.560981846	.580432769639816	 	.500562020537926	 	3	 	 	71	30	60	31	15	E02000755	7
24819	000000889	I have lived in England for 70 years, moving here from Ireland in 1947. I think that the country does not face a problem at the moment - all I have is the height of praise for the country the people will sort it out!	1	4	4	2	3	5	4	4	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	4	-1	1	3	4	2	1	3	2	1	-1	3	2	4	5	2	1	 	 	2	4	4	5	3	4	3	3	1	5	3	1	5	2	3	5	2	7	4	2	7	 	 	-1	 	 	-1	-1	-1	-1	-1	1	1	1	3	4	3	4	2	2	 	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	-1	-1	-1	5	-1	2	2	1	-1	7	-1	-1	-1	-1	-1	 	 	10	2	0	0	0	0	0	0	0	0	1	0	3	3	3	 	 	2	-1	2	-1	-1	3	3	3	1	0	10	0	0	0	 	 	2	-1	3	1	10	0	3	1	2	9	 	 	2	 	2	-1	-1	1	1	2	3	5	4	2	4	1	2	1	-1	2	2	1	2	2	2	3	1	0	0	0	1	0	2	8	3	1	8	87	2	2	0	11	 	1	1	1	2	 	 	4	1	1	3	1	0	0	0	0	0	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	2	Ilford Nor	E14000759	328	19/07/2017	1	1	1	5	0	0	.560981846	.739382104081768	 	1.0539556739904	1.01846720973973	0	2	0	124	60	90	32	46	E02000755	7
24902	000000779	Brexit/ instability, for me personally, my partner's an EU national, so insecurity about that, and making it more difficult for us to live abroad in the future, and economic uncertainty.	1	1	3	2	4	2	4	3	1	1	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	4	2	1	3	4	2	1	2	4	2	2	1	1	4	4	1	1	 	 	2	1	5	3	2	2	2	4	3	5	5	2	3	1	3	8	2	8	8	3	9	 	 	9	 	 	8	4	6	8	3	-1	 	5	2	1	2	-1	9	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	 	 	 	 	 	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	4	2	2	2	2	3	1	4	3	2	4	7	5	2	10	1	 	 	3	1	0	1	0	1	0	0	1	0	0	0	3	2	3	 	 	2	3	2	2	3	4	4	1	2	0	9	7	0	9	 	 	1	2	2	3	5	5	3	2	1	5	 	 	-1	1	-1	1	1	-1	1	1	3	2	3	2	1	1	1	2	1	1	2	5	2	1	1	10	5	0	0	0	1	0	0	 	3	1	2	33	1	1	2	2	 	 	 	 	 	1	 	2	1	1	1	1	0	0	0	0	0	1	1	1	2	4	4	4	3	4	2	2	2	5	2	5	3	2	3	3	1	2	2	4	1	6	9	2	4	9	 	 	1	9	2	4	10	2	 	 	2	8	6	2	8	 	 	3	3	4	3	5	1	4	4	-1	1	5	2	1	2	1	0	0	1	33	London	1	3	Islington	E14000763	334	19/07/2017	1	1	2	1	0	0	1.121963692	1.27342431303497	1.431915874364	1.03160669325962	1.2699127280566	4	1	1	91	40	51	20	15	E02000560	2
24915	000000778	Brexit, because /  you always get the master vote wrong, none of it was explained, they don't realise you won't be able to go abroad/-	1	1	5	5	4	1	5	5	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	4	4	4	4	4	4	1	1	2	2	1	1	1	1	4	5	3	1	 	 	1	1	1	4	1	1	5	4	4	4	4	4	4	1	0	8	0	10	0	0	9	 	 	10	 	 	9	0	0	10	0	2	-1	6	1	1	1	-1	10	1	4	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	1	1	0	4	1	3	3	2	0	10	0	-1	10	0	 	 	0	1	0	0	0	0	0	1	0	0	0	0	1	2	2	 	 	2	1	2	2	3	5	5	1	1	0	10	0	0	9	 	 	1	1	5	5	9	7	3	2	1	1	 	 	4	2	2	2	2	2	1	1	3	2	1	2	1	1	1	2	-1	1	2	5	2	2	2	4	1	0	0	0	1	0	0	 	1	1	7	76	1	1	4	11	 	1	1	1	2	 	 	1	1	1	2	0	1	0	0	0	0	1	1	1	1	1	1	5	1	2	1	1	2	2	1	2	1	2	2	2	1	2	1	4	2	 	10	1	10	10	 	 	3	10	1	10	10	1	 	 	0	10	3	0	9	 	 	5	2	3	5	5	1	5	5	1	 	5	1	1	2	1	0	0	1	76	London	2	3	Islington	E14000763	334	19/07/2017	1	1	3	1	0	0	1.682945538	1.57725334980334	1.27694866167722	1.515635759329	1.3907927896149	4	1	1	41	20	51	20	15	E02000560	2
24920	000000783	The uncertainty following Brexit is holding us back, jobs, property, business-wise - we don't know where we stand.	1	1	2	4	4	2	1	3	1	1	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	4	3	2	1	3	4	2	1	3	3	1	2	1	2	4	5	3	1	 	 	3	2	4	5	3	2	3	3	2	4	5	2	2	1	5	7	8	9	7	-1	9	 	 	10	 	 	9	2	7	8	-1	2	1	7	2	1	2	-1	8	1	14	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	1	2	3	3	1	5	3	2	0	9	2	3	10	3	 	 	3	1	1	1	0	0	0	1	0	0	0	0	3	2	3	 	 	2	1	2	2	1	4	4	1	3	7	8	6	0	8	 	 	2	1	2	4	5	2	3	11	1	5	 	 	1	 	1	11	11	2	1	1	6	4	4	3	4	-1	2	2	2	-1	-1	5	2	1	1	15	4	0	0	0	1	0	0	 	3	2	2	32	-2	1	1	1	 	 	 	1	2	 	 	2	1	1	1	1	0	0	0	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	London	2	3	Islington	E14000763	334	27/09/2017	1	1	2	6	0	0	1.121963692	1.15529332091169	 	.942601477341277	1.11777526986096	5	1	1	50	20	12	20	15	E02000560	2
